id,id_1,asset,year,rep_period,time_block_start,time_block_end,units_on_start,units_on_end,dual_su_sd_ramp_vars_flow_with_high_uptime
1,1,AT_CCGT,2030,1,1,2,1,2,0.0
2,2,AT_CCGT,2030,1,3,4,3,4,0.0
3,3,AT_CCGT,2030,1,5,6,5,6,0.0
4,4,AT_CCGT,2030,1,7,8,7,8,0.0
5,5,AT_CCGT,2030,1,9,10,9,10,0.0
6,6,AT_CCGT,2030,1,11,12,11,12,0.0
7,7,AT_CCGT,2030,1,13,14,13,14,0.0
8,8,AT_CCGT,2030,1,15,16,15,16,0.0
9,9,AT_CCGT,2030,1,17,18,17,18,0.0
10,10,AT_CCGT,2030,1,19,20,19,20,0.0
11,11,AT_CCGT,2030,1,21,22,21,22,0.0
12,12,AT_CCGT,2030,1,23,24,23,24,0.0
13,13,AT_CCGT,2030,2,1,2,1,2,0.0
14,14,AT_CCGT,2030,2,3,4,3,4,0.0
15,15,AT_CCGT,2030,2,5,6,5,6,0.0
16,16,AT_CCGT,2030,2,7,8,7,8,0.0
17,17,AT_CCGT,2030,2,9,10,9,10,0.0
18,18,AT_CCGT,2030,2,11,12,11,12,0.0
19,19,AT_CCGT,2030,2,13,14,13,14,0.0
20,20,AT_CCGT,2030,2,15,16,15,16,0.0
21,21,AT_CCGT,2030,2,17,18,17,18,0.0
22,22,AT_CCGT,2030,2,19,20,19,20,0.0
23,23,AT_CCGT,2030,2,21,22,21,22,0.0
24,24,AT_CCGT,2030,2,23,24,23,24,0.0
25,25,AT_CCGT,2030,3,1,2,1,2,0.0
26,26,AT_CCGT,2030,3,3,4,3,4,0.0
27,27,AT_CCGT,2030,3,5,6,5,6,0.0
28,28,AT_CCGT,2030,3,7,8,7,8,0.0
29,29,AT_CCGT,2030,3,9,10,9,10,0.0
30,30,AT_CCGT,2030,3,11,12,11,12,0.0
31,31,AT_CCGT,2030,3,13,14,13,14,0.0
32,32,AT_CCGT,2030,3,15,16,15,16,0.0
33,33,AT_CCGT,2030,3,17,18,17,18,0.0
34,34,AT_CCGT,2030,3,19,20,19,20,0.0
35,35,AT_CCGT,2030,3,21,22,21,22,0.0
36,36,AT_CCGT,2030,3,23,24,23,24,0.0
37,37,AT_CCGT,2030,4,1,2,1,2,0.0
38,38,AT_CCGT,2030,4,3,4,3,4,0.0
39,39,AT_CCGT,2030,4,5,6,5,6,0.0
40,40,AT_CCGT,2030,4,7,8,7,8,0.0
41,41,AT_CCGT,2030,4,9,10,9,10,0.0
42,42,AT_CCGT,2030,4,11,12,11,12,0.0
43,43,AT_CCGT,2030,4,13,14,13,14,0.0
44,44,AT_CCGT,2030,4,15,16,15,16,0.0
45,45,AT_CCGT,2030,4,17,18,17,18,0.0
46,46,AT_CCGT,2030,4,19,20,19,20,0.0
47,47,AT_CCGT,2030,4,21,22,21,22,0.0
48,48,AT_CCGT,2030,4,23,24,23,24,0.0
49,49,AT_CCGT,2030,5,1,2,1,2,0.0
50,50,AT_CCGT,2030,5,3,4,3,4,0.0
51,51,AT_CCGT,2030,5,5,6,5,6,0.0
52,52,AT_CCGT,2030,5,7,8,7,8,0.0
53,53,AT_CCGT,2030,5,9,10,9,10,0.0
54,54,AT_CCGT,2030,5,11,12,11,12,0.0
55,55,AT_CCGT,2030,5,13,14,13,14,0.0
56,56,AT_CCGT,2030,5,15,16,15,16,0.0
57,57,AT_CCGT,2030,5,17,18,17,18,0.0
58,58,AT_CCGT,2030,5,19,20,19,20,0.0
59,59,AT_CCGT,2030,5,21,22,21,22,0.0
60,60,AT_CCGT,2030,5,23,24,23,24,0.0
61,61,AT_CCGT,2030,6,1,2,1,2,0.0
62,62,AT_CCGT,2030,6,3,4,3,4,0.0
63,63,AT_CCGT,2030,6,5,6,5,6,0.0
64,64,AT_CCGT,2030,6,7,8,7,8,0.0
65,65,AT_CCGT,2030,6,9,10,9,10,0.0
66,66,AT_CCGT,2030,6,11,12,11,12,0.0
67,67,AT_CCGT,2030,6,13,14,13,14,0.0
68,68,AT_CCGT,2030,6,15,16,15,16,0.0
69,69,AT_CCGT,2030,6,17,18,17,18,0.0
70,70,AT_CCGT,2030,6,19,20,19,20,0.0
71,71,AT_CCGT,2030,6,21,22,21,22,0.0
72,72,AT_CCGT,2030,6,23,24,23,24,0.0
73,73,AT_CCGT,2030,7,1,2,1,2,0.0
74,74,AT_CCGT,2030,7,3,4,3,4,0.0
75,75,AT_CCGT,2030,7,5,6,5,6,0.0
76,76,AT_CCGT,2030,7,7,8,7,8,0.0
77,77,AT_CCGT,2030,7,9,10,9,10,0.0
78,78,AT_CCGT,2030,7,11,12,11,12,0.0
79,79,AT_CCGT,2030,7,13,14,13,14,0.0
80,80,AT_CCGT,2030,7,15,16,15,16,0.0
81,81,AT_CCGT,2030,7,17,18,17,18,0.0
82,82,AT_CCGT,2030,7,19,20,19,20,0.0
83,83,AT_CCGT,2030,7,21,22,21,22,0.0
84,84,AT_CCGT,2030,7,23,24,23,24,0.0
85,85,AT_CCGT,2030,8,1,2,1,2,0.0
86,86,AT_CCGT,2030,8,3,4,3,4,0.0
87,87,AT_CCGT,2030,8,5,6,5,6,0.0
88,88,AT_CCGT,2030,8,7,8,7,8,0.0
89,89,AT_CCGT,2030,8,9,10,9,10,0.0
90,90,AT_CCGT,2030,8,11,12,11,12,0.0
91,91,AT_CCGT,2030,8,13,14,13,14,0.0
92,92,AT_CCGT,2030,8,15,16,15,16,0.0
93,93,AT_CCGT,2030,8,17,18,17,18,0.0
94,94,AT_CCGT,2030,8,19,20,19,20,0.0
95,95,AT_CCGT,2030,8,21,22,21,22,0.0
96,96,AT_CCGT,2030,8,23,24,23,24,0.0
97,97,AT_CCGT,2030,9,1,2,1,2,0.0
98,98,AT_CCGT,2030,9,3,4,3,4,0.0
99,99,AT_CCGT,2030,9,5,6,5,6,0.0
100,100,AT_CCGT,2030,9,7,8,7,8,0.0
101,101,AT_CCGT,2030,9,9,10,9,10,0.0
102,102,AT_CCGT,2030,9,11,12,11,12,0.0
103,103,AT_CCGT,2030,9,13,14,13,14,0.0
104,104,AT_CCGT,2030,9,15,16,15,16,0.0
105,105,AT_CCGT,2030,9,17,18,17,18,0.0
106,106,AT_CCGT,2030,9,19,20,19,20,0.0
107,107,AT_CCGT,2030,9,21,22,21,22,0.0
108,108,AT_CCGT,2030,9,23,24,23,24,0.0
109,109,AT_CCGT,2030,10,1,2,1,2,0.0
110,110,AT_CCGT,2030,10,3,4,3,4,0.0
111,111,AT_CCGT,2030,10,5,6,5,6,0.0
112,112,AT_CCGT,2030,10,7,8,7,8,0.0
113,113,AT_CCGT,2030,10,9,10,9,10,0.0
114,114,AT_CCGT,2030,10,11,12,11,12,0.0
115,115,AT_CCGT,2030,10,13,14,13,14,0.0
116,116,AT_CCGT,2030,10,15,16,15,16,0.0
117,117,AT_CCGT,2030,10,17,18,17,18,0.0
118,118,AT_CCGT,2030,10,19,20,19,20,0.0
119,119,AT_CCGT,2030,10,21,22,21,22,0.0
120,120,AT_CCGT,2030,10,23,24,23,24,0.0
121,121,AT_Coal,2030,1,1,2,1,2,0.0
122,122,AT_Coal,2030,1,3,4,3,4,0.0
123,123,AT_Coal,2030,1,5,6,5,6,0.0
124,124,AT_Coal,2030,1,7,8,7,8,0.0
125,125,AT_Coal,2030,1,9,10,9,10,0.0
126,126,AT_Coal,2030,1,11,12,11,12,0.0
127,127,AT_Coal,2030,1,13,14,13,14,0.0
128,128,AT_Coal,2030,1,15,16,15,16,0.0
129,129,AT_Coal,2030,1,17,18,17,18,0.0
130,130,AT_Coal,2030,1,19,20,19,20,0.0
131,131,AT_Coal,2030,1,21,22,21,22,0.0
132,132,AT_Coal,2030,1,23,24,23,24,0.0
133,133,AT_Coal,2030,2,1,2,1,2,0.0
134,134,AT_Coal,2030,2,3,4,3,4,0.0
135,135,AT_Coal,2030,2,5,6,5,6,0.0
136,136,AT_Coal,2030,2,7,8,7,8,0.0
137,137,AT_Coal,2030,2,9,10,9,10,0.0
138,138,AT_Coal,2030,2,11,12,11,12,0.0
139,139,AT_Coal,2030,2,13,14,13,14,0.0
140,140,AT_Coal,2030,2,15,16,15,16,0.0
141,141,AT_Coal,2030,2,17,18,17,18,0.0
142,142,AT_Coal,2030,2,19,20,19,20,0.0
143,143,AT_Coal,2030,2,21,22,21,22,0.0
144,144,AT_Coal,2030,2,23,24,23,24,0.0
145,145,AT_Coal,2030,3,1,2,1,2,0.0
146,146,AT_Coal,2030,3,3,4,3,4,0.0
147,147,AT_Coal,2030,3,5,6,5,6,0.0
148,148,AT_Coal,2030,3,7,8,7,8,0.0
149,149,AT_Coal,2030,3,9,10,9,10,0.0
150,150,AT_Coal,2030,3,11,12,11,12,0.0
151,151,AT_Coal,2030,3,13,14,13,14,0.0
152,152,AT_Coal,2030,3,15,16,15,16,0.0
153,153,AT_Coal,2030,3,17,18,17,18,0.0
154,154,AT_Coal,2030,3,19,20,19,20,0.0
155,155,AT_Coal,2030,3,21,22,21,22,0.0
156,156,AT_Coal,2030,3,23,24,23,24,0.0
157,157,AT_Coal,2030,4,1,2,1,2,0.0
158,158,AT_Coal,2030,4,3,4,3,4,0.0
159,159,AT_Coal,2030,4,5,6,5,6,0.0
160,160,AT_Coal,2030,4,7,8,7,8,0.0
