id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
1,AT_Balance,2030,1,1,3,2.8143000000000002
2,AT_Balance,2030,1,4,6,2.8143000000000002
3,AT_Balance,2030,1,7,9,5.247
4,AT_Balance,2030,1,10,12,5.247
5,AT_Balance,2030,1,13,15,2.8143000000000002
6,AT_Balance,2030,1,16,18,2.8143000000000002
7,AT_Balance,2030,1,19,21,5.247
8,AT_Balance,2030,1,22,24,2.8143000000000002
9,AT_Balance,2030,2,1,3,0.198
10,AT_Balance,2030,2,4,6,0.198
11,AT_Balance,2030,2,7,9,1.7523
12,AT_Balance,2030,2,10,12,1.7523
13,AT_Balance,2030,2,13,15,0.198
14,AT_Balance,2030,2,16,18,0.198
15,AT_Balance,2030,2,19,21,0.198
16,AT_Balance,2030,2,22,24,0.198
17,AT_Balance,2030,3,1,3,1.5399
18,AT_Balance,2030,3,4,6,1.5399
19,AT_Balance,2030,3,7,9,4.436999999999999
20,AT_Balance,2030,3,10,12,2.871
21,AT_Balance,2030,3,13,15,4.436999999999999
22,AT_Balance,2030,3,16,18,4.436999999999999
23,AT_Balance,2030,3,19,21,27.29326282266534
24,AT_Balance,2030,3,22,24,2.871
25,AT_Balance,2030,4,1,3,1.2213
26,AT_Balance,2030,4,4,6,1.2213
27,AT_Balance,2030,4,7,9,1.2213
28,AT_Balance,2030,4,10,12,1.2213
29,AT_Balance,2030,4,13,15,1.2213
30,AT_Balance,2030,4,16,18,1.2213
31,AT_Balance,2030,4,19,21,1.2213
32,AT_Balance,2030,4,22,24,1.2213
33,AT_Balance,2030,5,1,3,0.312
34,AT_Balance,2030,5,4,6,0.312
35,AT_Balance,2030,5,7,9,0.312
36,AT_Balance,2030,5,10,12,0.312
37,AT_Balance,2030,5,13,15,0.312
38,AT_Balance,2030,5,16,18,0.312
39,AT_Balance,2030,5,19,21,0.312
40,AT_Balance,2030,5,22,24,0.312
41,AT_Balance,2030,6,1,3,0.9558
42,AT_Balance,2030,6,4,6,0.108
43,AT_Balance,2030,6,7,9,0.9558
44,AT_Balance,2030,6,10,12,0.9558
45,AT_Balance,2030,6,13,15,0.9558
46,AT_Balance,2030,6,16,18,0.9558
47,AT_Balance,2030,6,19,21,0.9558
48,AT_Balance,2030,6,22,24,0.9558
49,AT_Balance,2030,7,1,3,1.9647000000000001
50,AT_Balance,2030,7,4,6,1.9647000000000001
51,AT_Balance,2030,7,7,9,4.676100000000001
52,AT_Balance,2030,7,10,12,1.9647000000000001
53,AT_Balance,2030,7,13,15,1.9647000000000001
54,AT_Balance,2030,7,16,18,3.6630000000000003
55,AT_Balance,2030,7,19,21,5.661
56,AT_Balance,2030,7,22,24,1.9647000000000001
57,AT_Balance,2030,8,1,3,0.186
58,AT_Balance,2030,8,4,6,1.6461000000000001
59,AT_Balance,2030,8,7,9,1.6461000000000001
60,AT_Balance,2030,8,10,12,1.6461000000000001
61,AT_Balance,2030,8,13,15,1.6461000000000001
62,AT_Balance,2030,8,16,18,1.6461000000000001
63,AT_Balance,2030,8,19,21,1.6461000000000001
64,AT_Balance,2030,8,22,24,1.6461000000000001
65,AT_Balance,2030,9,1,3,0.258
66,AT_Balance,2030,9,4,6,0.258
67,AT_Balance,2030,9,7,9,2.2833
68,AT_Balance,2030,9,10,12,2.2833
69,AT_Balance,2030,9,13,15,0.258
70,AT_Balance,2030,9,16,18,2.2833
71,AT_Balance,2030,9,19,21,2.2833
72,AT_Balance,2030,9,22,24,2.2833
73,AT_Balance,2030,10,1,3,2.4426
74,AT_Balance,2030,10,4,6,4.554
75,AT_Balance,2030,10,7,9,7.037999999999999
76,AT_Balance,2030,10,10,12,4.554
77,AT_Balance,2030,10,13,15,4.554
78,AT_Balance,2030,10,16,18,4.554
79,AT_Balance,2030,10,19,21,7.037999999999999
80,AT_Balance,2030,10,22,24,4.554
81,BE_Balance,2030,1,1,3,2.8143000000000002
82,BE_Balance,2030,1,4,6,2.8143000000000002
83,BE_Balance,2030,1,7,9,5.247
84,BE_Balance,2030,1,10,12,5.247
85,BE_Balance,2030,1,13,15,2.8143000000000002
86,BE_Balance,2030,1,16,18,2.8143000000000002
87,BE_Balance,2030,1,19,21,5.247
88,BE_Balance,2030,1,22,24,2.8143000000000002
89,BE_Balance,2030,2,1,3,0.198
90,BE_Balance,2030,2,4,6,0.198
91,BE_Balance,2030,2,7,9,1.7523
92,BE_Balance,2030,2,10,12,1.7523
93,BE_Balance,2030,2,13,15,1.7523
94,BE_Balance,2030,2,16,18,1.7523
95,BE_Balance,2030,2,19,21,1.7523
96,BE_Balance,2030,2,22,24,1.7523
97,BE_Balance,2030,3,1,3,0.17400000000000002
98,BE_Balance,2030,3,4,6,0.17400000000000002
99,BE_Balance,2030,3,7,9,0.17400000000000002
100,BE_Balance,2030,3,10,12,0.17400000000000002
101,BE_Balance,2030,3,13,15,0.17400000000000002
102,BE_Balance,2030,3,16,18,0.17400000000000002
103,BE_Balance,2030,3,19,21,0.17400000000000002
104,BE_Balance,2030,3,22,24,0.17400000000000002
105,BE_Balance,2030,4,1,3,0.138
106,BE_Balance,2030,4,4,6,0.138
107,BE_Balance,2030,4,7,9,1.2213
108,BE_Balance,2030,4,10,12,1.2213
109,BE_Balance,2030,4,13,15,0.138
110,BE_Balance,2030,4,16,18,1.2213
111,BE_Balance,2030,4,19,21,0.138
112,BE_Balance,2030,4,22,24,1.2213
113,BE_Balance,2030,5,1,3,0.312
114,BE_Balance,2030,5,4,6,0.312
115,BE_Balance,2030,5,7,9,0.312
116,BE_Balance,2030,5,10,12,0.312
117,BE_Balance,2030,5,13,15,0.312
118,BE_Balance,2030,5,16,18,0.312
119,BE_Balance,2030,5,19,21,0.312
120,BE_Balance,2030,5,22,24,0.312
121,BE_Balance,2030,6,1,3,0.9558
122,BE_Balance,2030,6,4,6,0.9558
