id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_storage_rep_period,dual_max_storage_level_rep_period_limit,dual_min_storage_level_rep_period_limit
1,AT_Battery,2030,1,1,4,-0.9381,-0.8108999999999998,0.0
2,AT_Battery,2030,1,5,8,-1.7489999999999999,0.0,0.0
3,AT_Battery,2030,1,9,12,-1.7489999999999999,0.0,0.0
4,AT_Battery,2030,1,13,16,-0.9381,-1.1102230246251565e-16,0.0
5,AT_Battery,2030,1,17,20,-0.9381000000000002,0.0,0.0
6,AT_Battery,2030,1,21,24,-0.9381,0.0,0.0
7,AT_Battery,2030,2,1,4,-0.066,0.0,0.0
8,AT_Battery,2030,2,5,8,-0.066,-0.5181,0.0
9,AT_Battery,2030,2,9,12,-0.5841,0.0,0.0
10,AT_Battery,2030,2,13,16,-0.066,0.0,0.0
11,AT_Battery,2030,2,17,20,-0.066,0.0,0.0
12,AT_Battery,2030,2,21,24,-0.066,0.0,0.0
13,AT_Battery,2030,3,1,4,-0.5133,-1.1102230246251565e-16,0.0
14,AT_Battery,2030,3,5,8,-0.5133000000000001,0.0,0.0
15,AT_Battery,2030,3,9,12,-0.5133000000000001,-0.4436999999999999,0.0
16,AT_Battery,2030,3,13,16,-0.957,-8.105274279249752,0.0
17,AT_Battery,2030,3,17,20,-9.062274279249753,0.0,0.0
18,AT_Battery,2030,3,21,24,-1.4789999999999996,0.0,0.0
19,AT_Battery,2030,4,1,4,-0.4071,0.0,0.0
20,AT_Battery,2030,4,5,8,-0.4071,0.0,0.0
21,AT_Battery,2030,4,9,12,-0.4071,0.0,0.0
22,AT_Battery,2030,4,13,16,-0.4071,0.0,0.0
23,AT_Battery,2030,4,17,20,-0.4071,0.0,0.0
24,AT_Battery,2030,4,21,24,-0.4071,0.0,0.0
25,AT_Battery,2030,5,1,4,-0.104,0.0,0.0
26,AT_Battery,2030,5,5,8,-0.10400000000000001,0.0,0.0
27,AT_Battery,2030,5,9,12,-0.104,0.0,0.0
28,AT_Battery,2030,5,13,16,-0.104,0.0,0.0
29,AT_Battery,2030,5,17,20,-0.104,0.0,0.0
30,AT_Battery,2030,5,21,24,-0.104,0.0,0.0
31,AT_Battery,2030,6,1,4,-0.3186,0.0,0.0
32,AT_Battery,2030,6,5,8,-0.3186,0.0,0.0
33,AT_Battery,2030,6,9,12,-0.3186,0.0,0.0
34,AT_Battery,2030,6,13,16,-0.3186,0.0,0.0
35,AT_Battery,2030,6,17,20,-0.3186,0.0,0.0
36,AT_Battery,2030,6,21,24,-0.3186,0.0,0.0
37,AT_Battery,2030,7,1,4,-0.6549,0.0,0.0
38,AT_Battery,2030,7,5,8,-0.6549,0.0,0.0
39,AT_Battery,2030,7,9,12,-0.6549,0.0,0.0
40,AT_Battery,2030,7,13,16,-0.6549,-0.8491500000000001,0.0
41,AT_Battery,2030,7,17,20,-1.50405,0.0,0.0
42,AT_Battery,2030,7,21,24,-0.6549,0.0,0.0
