id,asset,milestone_year,investment_integer,capacity,investment_limit,solution
1,NL_Solar,2030,true,18.0,,84.0
2,NL_Wind_Onshore,2030,true,49.0,,555.0
3,NL_Wind_Offshore,2030,true,49.0,,-0.0
4,NL_Coal,2030,true,824.0,,6.0
5,NL_Nuclear,2030,true,2095.0,,0.0
6,NL_CCGT,2030,true,357.0,,8.0
7,NL_OCGT,2030,true,357.0,,0.0
8,NL_Battery,2030,false,10.0,,114.02161498825919
9,BE_Solar,2030,true,18.0,,444.0
10,BE_Wind_Onshore,2030,true,49.0,,412.0
11,BE_Coal,2030,true,824.0,,2.0
12,BE_Nuclear,2030,true,2095.0,,0.0
13,BE_CCGT,2030,true,357.0,,6.0
14,BE_OCGT,2030,true,357.0,,0.0
15,BE_Battery,2030,false,10.0,,53.60844907875418
16,DE_Solar,2030,true,18.0,,2654.0
17,DE_Wind_Onshore,2030,true,49.0,,1985.0
18,DE_Wind_Offshore,2030,true,49.0,,-0.0
19,DE_Coal,2030,true,824.0,,23.0
20,DE_Nuclear,2030,true,2095.0,,0.0
21,DE_CCGT,2030,true,357.0,,25.0
22,DE_OCGT,2030,true,357.0,,7.0
23,DE_Battery,2030,false,10.0,,376.0790320170257
24,FR_Solar,2030,true,18.0,,1464.0
25,FR_Wind_Onshore,2030,true,49.0,,2261.0
26,FR_Wind_Offshore,2030,true,49.0,,-0.0
27,FR_Coal,2030,true,824.0,,10.0
28,FR_Nuclear,2030,true,2095.0,,0.0
29,FR_CCGT,2030,true,357.0,,8.0
30,FR_OCGT,2030,true,357.0,,8.0
31,FR_Battery,2030,false,10.0,,36.86524248914793
32,LU_Solar,2030,true,18.0,,218.0
33,LU_Wind_Onshore,2030,true,49.0,,-0.0
34,LU_Wind_Offshore,2030,true,49.0,,-0.0
35,LU_Coal,2030,true,824.0,,-0.0
36,LU_Nuclear,2030,true,2095.0,,0.0
37,LU_CCGT,2030,true,357.0,,-0.0
38,LU_OCGT,2030,true,357.0,,-0.0
39,LU_Battery,2030,false,10.0,,17.34092726532492
40,CH_Solar,2030,true,18.0,,824.0
41,CH_Wind_Onshore,2030,true,49.0,,-0.0
42,CH_Wind_Offshore,2030,true,49.0,,-0.0
43,CH_Coal,2030,true,824.0,,6.0
44,CH_Nuclear,2030,true,2095.0,,0.0
45,CH_OCGT,2030,true,357.0,,1.0
46,CH_Battery,2030,false,10.0,,137.19403398876176
47,AT_Solar,2030,true,18.0,,197.0
48,AT_Wind_Onshore,2030,true,49.0,,405.0
49,AT_Wind_Offshore,2030,true,49.0,,-0.0
50,AT_Coal,2030,true,824.0,,4.0
51,AT_Nuclear,2030,true,2095.0,,0.0
52,AT_CCGT,2030,true,357.0,,1.0
53,AT_OCGT,2030,true,357.0,,3.0
54,AT_Battery,2030,false,10.0,,60.22266817774162
55,BE_Wind_Offshore,2030,true,49.0,,-0.0
56,CH_CCGT,2030,true,357.0,,0.0
