id,id_1,asset,year,rep_period,time_block_start,time_block_end,dual_sd_ramp_vars_flow_diff
1,1,AT_CCGT,2030,1,1,4,0.0
2,2,AT_CCGT,2030,1,5,8,0.0
3,3,AT_CCGT,2030,1,9,12,0.0
4,4,AT_CCGT,2030,1,13,16,0.0
5,5,AT_CCGT,2030,1,17,20,0.0
6,6,AT_CCGT,2030,1,21,24,0.0
7,7,AT_CCGT,2030,2,1,4,0.0
8,8,AT_CCGT,2030,2,5,8,0.0
9,9,AT_CCGT,2030,2,9,12,0.0
10,10,AT_CCGT,2030,2,13,16,0.0
11,11,AT_CCGT,2030,2,17,20,0.0
12,12,AT_CCGT,2030,2,21,24,0.0
13,13,AT_CCGT,2030,3,1,4,0.0
14,14,AT_CCGT,2030,3,5,8,0.0
15,15,AT_CCGT,2030,3,9,12,0.0
16,16,AT_CCGT,2030,3,13,16,0.0
17,17,AT_CCGT,2030,3,17,20,0.0
18,18,AT_CCGT,2030,3,21,24,0.0
19,19,AT_CCGT,2030,4,1,4,0.0
20,20,AT_CCGT,2030,4,5,8,0.0
21,21,AT_CCGT,2030,4,9,12,0.0
22,22,AT_CCGT,2030,4,13,16,0.0
23,23,AT_CCGT,2030,4,17,20,0.0
24,24,AT_CCGT,2030,4,21,24,0.0
25,25,AT_CCGT,2030,5,1,4,0.0
26,26,AT_CCGT,2030,5,5,8,0.0
27,27,AT_CCGT,2030,5,9,12,0.0
28,28,AT_CCGT,2030,5,13,16,0.0
29,29,AT_CCGT,2030,5,17,20,0.0
30,30,AT_CCGT,2030,5,21,24,0.0
31,31,AT_CCGT,2030,6,1,4,0.0
32,32,AT_CCGT,2030,6,5,8,0.0
33,33,AT_CCGT,2030,6,9,12,0.0
34,34,AT_CCGT,2030,6,13,16,0.0
35,35,AT_CCGT,2030,6,17,20,0.0
36,36,AT_CCGT,2030,6,21,24,0.0
37,37,AT_CCGT,2030,7,1,4,0.0
38,38,AT_CCGT,2030,7,5,8,0.0
39,39,AT_CCGT,2030,7,9,12,0.0
40,40,AT_CCGT,2030,7,13,16,0.0
41,41,AT_CCGT,2030,7,17,20,0.0
42,42,AT_CCGT,2030,7,21,24,0.0
43,43,AT_CCGT,2030,8,1,4,0.0
44,44,AT_CCGT,2030,8,5,8,0.0
45,45,AT_CCGT,2030,8,9,12,0.0
46,46,AT_CCGT,2030,8,13,16,0.0
47,47,AT_CCGT,2030,8,17,20,0.0
48,48,AT_CCGT,2030,8,21,24,0.0
49,49,AT_CCGT,2030,9,1,4,0.0
50,50,AT_CCGT,2030,9,5,8,0.0
51,51,AT_CCGT,2030,9,9,12,0.0
52,52,AT_CCGT,2030,9,13,16,0.0
53,53,AT_CCGT,2030,9,17,20,0.0
54,54,AT_CCGT,2030,9,21,24,0.0
55,55,AT_CCGT,2030,10,1,4,0.0
56,56,AT_CCGT,2030,10,5,8,0.0
57,57,AT_CCGT,2030,10,9,12,0.0
58,58,AT_CCGT,2030,10,13,16,0.0
59,59,AT_CCGT,2030,10,17,20,0.0
60,60,AT_CCGT,2030,10,21,24,0.0
61,61,AT_Coal,2030,1,1,4,0.0
62,62,AT_Coal,2030,1,5,8,0.0
63,63,AT_Coal,2030,1,9,12,0.0
64,64,AT_Coal,2030,1,13,16,0.0
65,65,AT_Coal,2030,1,17,20,0.0
66,66,AT_Coal,2030,1,21,24,0.0
67,67,AT_Coal,2030,2,1,4,0.0
68,68,AT_Coal,2030,2,5,8,0.0
69,69,AT_Coal,2030,2,9,12,0.0
70,70,AT_Coal,2030,2,13,16,0.0
71,71,AT_Coal,2030,2,17,20,0.0
72,72,AT_Coal,2030,2,21,24,0.0
73,73,AT_Coal,2030,3,1,4,0.0
74,74,AT_Coal,2030,3,5,8,0.0
75,75,AT_Coal,2030,3,9,12,0.0
76,76,AT_Coal,2030,3,13,16,0.0
77,77,AT_Coal,2030,3,17,20,0.0
78,78,AT_Coal,2030,3,21,24,0.0
79,79,AT_Coal,2030,4,1,4,0.0
80,80,AT_Coal,2030,4,5,8,0.0
81,81,AT_Coal,2030,4,9,12,0.0
82,82,AT_Coal,2030,4,13,16,0.0
83,83,AT_Coal,2030,4,17,20,0.0
84,84,AT_Coal,2030,4,21,24,0.0
85,85,AT_Coal,2030,5,1,4,0.0
86,86,AT_Coal,2030,5,5,8,0.0
87,87,AT_Coal,2030,5,9,12,0.0
88,88,AT_Coal,2030,5,13,16,0.0
89,89,AT_Coal,2030,5,17,20,0.0
90,90,AT_Coal,2030,5,21,24,0.0
91,91,AT_Coal,2030,6,1,4,0.0
92,92,AT_Coal,2030,6,5,8,0.0
93,93,AT_Coal,2030,6,9,12,0.0
94,94,AT_Coal,2030,6,13,16,0.0
95,95,AT_Coal,2030,6,17,20,0.0
96,96,AT_Coal,2030,6,21,24,0.0
97,97,AT_Coal,2030,7,1,4,0.0
98,98,AT_Coal,2030,7,5,8,0.0
99,99,AT_Coal,2030,7,9,12,0.0
100,100,AT_Coal,2030,7,13,16,0.0
101,101,AT_Coal,2030,7,17,20,0.0
102,102,AT_Coal,2030,7,21,24,0.0
103,103,AT_Coal,2030,8,1,4,0.0
